"site.SET.identifier","network","country","site.label","latitude","longitude","TSM.2011.AVG","TSM.2011.STDEV","SLR50","MHW","MLW","MSL","marshElevation","D","NEC","maxTemp","rainfall","Dominant.vegetation","accretion","elevCapital","elevation.rate","R2.SET","tidal.range","Spartina","shortGrassesHerbs","brackishRushes","saltbushes","category","SLR3000","Geomorphic.setting","Shore.R2","Shore.rate","Shore.Dist","UVVR","RSLR.period.of.measure","elevDeficit","subsidence","yearsNew","startNew","endNew","lowMarshLimBelMHW","lowMarshLimHeightDatum","tidalCat","orgMat","bulkDensity","SLR.ZONE","TIDE.RANGE.CM","Pio..lower.border.relative.to.mean.high.water.","LowMarshImHeight..relative.to.height.datum.","Elevation.capital..cm.","timeToFailurePROJECTED","timeToFailure.CONTEMPORANEOUS","Time.to.Failure.50","SatAltRSLR","Retreat.Failure"
"Alfacada.B5A","EUROPE","Spain","Alfacada",40.682336,0.835303,3.657497267,1.794363622,-0.21,0.1,-0.1,0,0.70833105,-3.04165525,1.6166621,21.45,805,"Juncus",0,38.43358143,2.461587914,0.645492888,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.0216,0.0287,55.7475,0.11,-2.46,-4.921587914,-2.461587914,8.589041096,"9/9/2009","4/10/2018",22.39952357,32.39952357,"micro",4.5,0.11,"3A",20,22.39952357,32.39952357,38.43358143,1000,1000,1000,2.32,1000
"Alfacada.B6A","EUROPE","Spain","Alfacada",40.681949,0.834807,5.988610903,2.87363992,-0.21,0.1,-0.1,0,0.63912582,-2.6956291,1.47825164,21.45,805,"Juncus",0.375,31.51305843,0.021436697,0.000237447,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.97,-0.0967,21.8125,0.11,-2.46,-2.481436697,0.353563303,8.589041096,"9/9/2009","4/10/2018",22.39952357,32.39952357,"micro",4.5,0.11,"3A",20,22.39952357,32.39952357,31.51305843,471.2638029,1000,1000,2.32,225.5687694
"Alfacs.M3A","EUROPE","Spain","Alfacs",40.638245,0.742663,4.402544975,1.820968968,-0.21,0.1,-0.1,0,0.36368388,-1.3184194,0.92736776,21.45,805,"Salicornia",1.875,3.968864431,2.320944281,0.791478239,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.38,-0.0636,10.965,0.28,-2.46,-4.780944281,-0.445944281,8.569863014,"8/25/2009","3/19/2018",22.39952357,32.39952357,"micro",22.5,0.365,"3A",20,22.39952357,32.39952357,3.968864431,1000,1000,1000,2.32,172.4056604
"Alfacs.M4A","EUROPE","Spain","Alfacs",40.638489,0.742241,4.402544975,1.820968968,-0.21,0.1,-0.1,0,0.39628202,-1.4814101,0.99256404,21.45,805,"Salicornia",1.6875,7.228678431,3.089736501,0.626512958,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.26,-0.0612,22.0325,0.28,-2.46,-5.549736501,-1.402236501,8.569863014,"8/25/2009","3/19/2018",22.39952357,32.39952357,"micro",22.5,0.365,"3A",20,22.39952357,32.39952357,7.228678431,1000,1000,1000,2.32,360.0081699
"Buda.M11BB","EUROPE","Spain","Buda",40.693689,0.859622,5.988610903,2.87363992,-0.21,0.1,-0.1,0,0.5149011,-2.0745055,1.2298022,21.45,805,"Salicornia",1.375,19.09058643,1.204269682,0.8324015,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.13,-0.0259,17.15,0.64,-2.67,-3.874269682,0.170730318,8.534246575,"9/3/2009","3/15/2018",22.39952357,32.39952357,"micro",5,1.17,"3A",20,22.39952357,32.39952357,19.09058643,1000,1000,1000,2.32,662.1621622
"Buda.M12BB","EUROPE","Spain","Buda",40.694116,0.859325,5.988610903,2.87363992,-0.21,0.1,-0.1,0,0.40814117,-1.54070585,1.01628234,21.45,805,"Salicornia",3.0625,8.414593431,0.699819617,0.108009182,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.24,-0.0351,97.0975,0.64,-2.67,-3.369819617,2.362680383,8.534246575,"9/3/2009","3/15/2018",22.39952357,32.39952357,"micro",5,1.17,"3A",20,22.39952357,32.39952357,8.414593431,3211.074226,1000,1000,2.32,2766.310541
"Clot.B3C","EUROPE","Spain","Clot",40.649515,0.690803,3.797266126,1.828537659,-0.21,0.1,-0.1,0,0.32294801,-1.11474005,0.84589602,21.45,805,"Phragmites",1.3125,-0.104722569,-0.282518225,0.003006891,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.76,0.1461,91.1675,0.14,-2.46,-2.177481775,1.595018225,8.591780822,"8/26/2009","3/28/2018",22.39952357,32.39952357,"micro",15.5,0.33,"3A",20,22.39952357,32.39952357,-0.104722569,0,0,0,2.32,1000
"Clot.B4C","EUROPE","Spain","Clot",40.649824,0.690473,3.797266126,1.828537659,-0.21,0.1,-0.1,0,0.3287679,-1.1438395,0.8575358,21.45,805,"Phragmites",NA,0.477266431,-0.157389682,0.006987499,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.05,-0.0279,85.53,0.14,-2.46,-2.302610318,-0.592610318,8.591780822,"8/26/2009","3/28/2018",22.39952357,32.39952357,"micro",15.5,0.33,"3A",20,22.39952357,32.39952357,0.477266431,123.7873961,1000,1000,2.32,3065.591398
"Encanyissada.E.F3EE","EUROPE","Spain","Encanyissada.E",40.653193,0.685543,3.797266126,1.828537659,-0.21,0.1,-0.1,0,0.3177754,-1.088877,0.8355508,21.45,805,"Salicornia",1.125,-0.621983569,3.636513214,0.420011031,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.48,-0.1555,15.9475,0.37,-2.46,-6.096513214,-2.511513214,8.564383562,"8/27/2009","3/19/2018",22.39952357,32.39952357,"micro",13.4,0.06,"3A",20,22.39952357,32.39952357,-0.621983569,0,0,2,2.32,102.5562701
"Encanyissada.E.F4EE","EUROPE","Spain","Encanyissada.E",40.653205,0.685259,3.797266126,1.828537659,-0.21,0.1,-0.1,0,0.34451205,-1.22256025,0.8890241,21.45,805,"Phragmites",5.4375,2.051681431,-5.285255665,0.882921553,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.8,-0.0935,1.705,0.37,-2.46,2.825255665,10.72275567,8.564383562,"8/27/2009","3/19/2018",22.39952357,32.39952357,"micro",13.4,0.06,"3A",20,22.39952357,32.39952357,2.051681431,7,7.261931925,4,2.32,18.23529412
"Encanyissada.W.F1EW","EUROPE","Spain","Encanyissada.W",40.635124,0.645459,2.714253873,1.69223909,-0.21,0.1,-0.1,0,0.45603132,-1.7801566,1.11206264,21.45,805,"Phragmites",2.3125,13.20360843,1.27651745,0.141533671,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.012,0.0049,23.33,0.25,-2.46,-3.73651745,1.03598255,8.545205479,"8/27/2009","3/12/2018",22.39952357,32.39952357,"micro",35.9,0.13,"3A",20,22.39952357,32.39952357,13.20360843,1000,1000,1000,2.32,1000
"Encanyissada.W.F2EW","EUROPE","Spain","Encanyissada.W",40.635219,0.645704,2.714253873,1.69223909,-0.21,0.1,-0.1,0,0.43379286,-1.6689643,1.06758572,21.45,805,"Phragmites",4.6875,10.97976243,7.096763001,0.919106396,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.09,-0.0165,6.36,0.25,-2.46,-9.556763001,-2.409263001,8.545205479,"8/27/2009","3/12/2018",22.39952357,32.39952357,"micro",35.9,0.13,"3A",20,22.39952357,32.39952357,10.97976243,1000,1000,1000,2.32,385.4545455
"Fangar.M5F","EUROPE","Spain","Fangar",40.763628,0.754585,3.97051692,1.477784466,-0.21,0.1,-0.1,0,0.68947124,-2.9473562,1.57894248,21.45,805,"Salicornia",0.625,36.54760043,2.139831614,0.452687628,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.1,0.0584,24.655,0.56,-2.67,-4.809831614,-1.514831614,8.569863014,"9/2/2009","3/27/2018",22.39952357,32.39952357,"micro",22.5,0.285,"3A",20,22.39952357,32.39952357,36.54760043,1000,1000,1000,2.32,1000
"Fangar.M6F","EUROPE","Spain","Fangar",40.72199,0.859071,3.97051692,1.477784466,-0.21,0.1,-0.1,0,0.45118174,-1.7559087,1.10236348,21.45,805,"Salicornia",8,12.71865043,2.743385293,0.810768552,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.94,0.2436,131.1425,0.56,-2.67,-5.413385293,5.256614707,8.569863014,"9/2/2009","3/27/2018",22.39952357,32.39952357,"micro",22.5,0.285,"3A",20,22.39952357,32.39952357,12.71865043,1000,1000,1000,2.32,1000
"Garxal.E.B1G","EUROPE","Spain","Garxal.E",40.722557,0.859053,4.679684798,2.296931291,-0.21,0.1,-0.1,0,0.03204989,0.33975055,0.26409978,21.45,805,"Paspalam",2.8125,-29.19453457,6.202981998,0.93923714,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.84,0.1942,73.8325,0.14,-2.67,-8.872981998,-3.390481998,8.616438356,"9/1/2009","4/12/2018",22.39952357,32.39952357,"micro",63.8,0.095,"3A",20,22.39952357,32.39952357,-29.19453457,0,0,1000,2.32,1000
"Garxal.E.B7G","EUROPE","Spain","Garxal.E",40.72241,0.858916,4.679684798,2.296931291,-0.21,0.1,-0.1,0,0.3594645,-1.2973225,0.918929,21.45,805,"Paspalam, Phragmites",4.75,3.546926431,5.517986496,0.722247505,0.2,0,1,1,0,"shortGrass",-0.097,"River deltaic",0.83,0.0975,88.2125,0.14,-2.67,-8.187986496,-0.767986496,8.616438356,"9/1/2009","4/12/2018",22.39952357,32.39952357,"micro",63.9,0.095,"3A",20,22.39952357,32.39952357,3.546926431,1000,1000,1000,2.32,1000
"Garxal.W.B2G","EUROPE","Spain","Garxal.W",40.722497,0.858747,4.679684798,2.296931291,-0.21,0.1,-0.1,0,0.44030669,-1.70153345,1.08061338,21.45,805,"Paspalam",4.5625,11.63114543,4.546115781,0.893665449,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.76,0.1436,71.645,0.14,-2.67,-7.216115781,0.016384219,8.616438356,"9/1/2009","4/12/2018",22.39952357,32.39952357,"micro",25,0.095,"3A",20,22.39952357,32.39952357,11.63114543,1000,1000,1000,2.32,1000
"Garxal.W.B8G","EUROPE","Spain","Garxal.W",40.722497,0.858747,4.679684798,2.296931291,-0.21,0.1,-0.1,0,0.44030669,-1.70153345,1.08061338,21.45,805,"Paspalam, Phragmites",4.1875,11.63114543,8.766074491,0.838918839,0.2,0,1,1,0,"shortGrass",-0.097,"River deltaic",0.76,0.1436,71.645,0.14,-2.67,-11.43607449,-4.578574491,8.616438356,"9/1/2009","4/12/2018",22.39952357,32.39952357,"micro",25,0.095,"3A",20,22.39952357,32.39952357,11.63114543,1000,1000,1000,2.32,1000
"Olles.E.M7O.1","EUROPE","Spain","Olles.E",40.790021,0.704739,5.196791907,2.106380456,-0.21,0.1,-0.1,0,1.29270911,-5.96354555,2.78541822,21.45,805,"Phragmites",NA,96.87138743,5.090200851,0.798301281,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.2,0.1317,28.76,0.18,-2.67,-7.760200851,NA,8.57260274,"9/2/2009","3/28/2018",22.39952357,32.39952357,"micro",35.9,0.1,"3A",20,22.39952357,32.39952357,96.87138743,1000,1000,1000,2.32,1000
"Olles.W.M8O.1","EUROPE","Spain","Olles.W",40.792506,0.702863,3.44416064,2.057096088,-0.21,0.1,-0.1,0,0.3866885,-1.4334425,0.973377,21.45,805,"Juncus, Salicornia",NA,6.269326431,1.319221924,0.603120056,0.2,0,1,1,0,"shortGrass",-0.097,"River deltaic",0.2,-0.0236,54.47,0.18,-2.67,-3.989221924,NA,8.57260274,"9/2/2009","3/28/2018",22.39952357,32.39952357,"micro",NA,0.73,"3A",20,22.39952357,32.39952357,6.269326431,1000,1000,1000,2.32,2308.050847
"Punta.Banya.M10AB","EUROPE","Spain","Punta.Banya",40.59072,0.676746,9.823645671,1.677620618,-0.21,0.1,-0.1,0,0.46386346,-1.8193173,1.12772692,21.45,805,"Salicornia",4.6875,13.98682243,0.683035208,0.047736703,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.16,-0.0352,5.375,0.5,-2.67,-3.353035208,4.004464792,8.515068493,"9/3/2009","3/8/2018",22.39952357,32.39952357,"micro",18.5,1.235,"3A",20,22.39952357,32.39952357,13.98682243,3232.488441,1000,1000,2.32,152.6988636
"Punta.Banya.M9AB","EUROPE","Spain","Punta.Banya",40.591099,0.676319,9.823645671,1.677620618,-0.21,0.1,-0.1,0,0.20022374,-0.5011187,0.60044748,21.45,805,"Salicornia",3.6875,-12.37714957,1.029259226,0.03071329,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.74,0.1739,19.9525,0.5,-2.67,-3.699259226,2.658240774,8.515068493,"9/3/2009","3/8/2018",22.39952357,32.39952357,"micro",18.5,1.235,"3A",20,22.39952357,32.39952357,-12.37714957,0,0,100,2.32,1000
"Riet.Vell.B10RV","EUROPE","Spain","Riet.Vell",40.662733,0.777336,3.928474913,1.867417969,-0.21,0.1,-0.1,0,0.38842344,-1.4421172,0.97684688,21.45,805,"Phragmites",0.4375,6.442820431,2.764834439,0.146968984,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.067,0.0874,85.305,0.03,-2.46,-5.224834439,-2.327334439,8.035616438,"3/30/2010","4/10/2018",22.39952357,32.39952357,"micro",NA,1.12,"3A",20,22.39952357,32.39952357,6.442820431,1000,1000,1000,2.32,1000
"Riet.Vell.B9RV","EUROPE","Spain","Riet.Vell",40.662948,0.776773,3.928474913,1.867417969,-0.21,0.1,-0.1,0,0.46859613,-1.84298065,1.13719226,21.45,805,"Phragmites",3.6875,14.46008943,-0.401245235,0.003312845,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.48,0.1927,33.135,0.03,-2.46,-2.058754765,4.088745235,8.035616438,"3/30/2010","4/10/2018",22.39952357,32.39952357,"micro",NA,1.12,"3A",20,22.39952357,32.39952357,14.46008943,203.2631493,1000,756,2.32,1000
"Tancada.M1T","EUROPE","Spain","Tancada",40.649643,0.75951,3.928474913,1.867417969,-0.21,0.1,-0.1,0,0.39221787,-1.46108935,0.98443574,21.45,805,"Salicornia",NA,6.822263431,0.928070186,0.249206276,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.32,-0.143,213.01,0.36,-2.46,-3.388070186,-1.178070186,8.542465753,"8/25/2009","3/9/2018",22.39952357,32.39952357,"micro",38.2,0.225,"3A",20,22.39952357,32.39952357,6.822263431,4060.443175,1000,1000,2.32,1489.58042
"Tancada.M2T","EUROPE","Spain","Tancada",40.649336,0.758515,3.928474913,1.867417969,-0.21,0.1,-0.1,0,0.55752128,-2.2876064,1.31504256,21.45,805,"Salicornia",2,23.35260443,-0.287322243,0.01168093,0.2,0,1,0,0,"shortGrass",-0.097,"River deltaic",0.45,0.0135,124.1275,0.36,-2.46,-2.172677757,2.287322243,8.542465753,"8/25/2009","3/9/2018",22.39952357,32.39952357,"micro",38.2,0.225,"3A",20,22.39952357,32.39952357,23.35260443,291.8201619,1000,3020,2.32,1000
"Ullals.F5U","EUROPE","Spain","Ullals",40.672475,0.59589,2.399583357,1.557906632,-0.21,0.1,-0.1,0,1.25039423,-5.75197115,2.70078846,21.45,805,"Phragmites",1.3125,92.63989943,-4.631766827,0.171555051,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.9,0.0392,4887.5475,0.01,-2.46,2.171766827,5.944266827,8.545205479,"8/27/2009","3/12/2018",22.39952357,32.39952357,"micro",21.8,0.73,"3A",20,22.39952357,32.39952357,92.63989943,189.3398279,426.5646674,210,2.32,1000
"Ullals.F6U","EUROPE","Spain","Ullals",40.672357,0.595847,2.399583357,1.557906632,-0.21,0.1,-0.1,0,1.49340308,-6.9670154,3.18680616,21.45,805,"Phragmites",3.1875,116.9407844,-3.641457514,0.200020894,0.2,0,0,1,0,"brackishRush",-0.097,"River deltaic",0.002,-0.0053,5203.9825,0.01,-2.67,0.971457514,6.828957514,8.545205479,"8/27/2009","3/12/2018",22.39952357,32.39952357,"micro",21.8,0.73,"3A",20,22.39952357,32.39952357,116.9407844,295.9835774,1203.766328,341,2.32,981883.4906
